fold_id,definition,source_id,condition_id,sample_count,test_mean,train_source_mean,mean_shift_from_train_source
outer-01,soh_nominal,mit_stanford_fast_charge,4C(80%)-4C,2097,0.9627947604499935,0.9501049711118471,0.012689789338146351
outer-01,soh_nominal,mit_stanford_fast_charge,5.4C(40%)-3.6C,903,0.952291477569717,0.9501049711118471,0.0021865064578698856
outer-01,soh_first_complete,mit_stanford_fast_charge,4C(80%)-4C,2097,0.9814644612558041,0.969533748487684,0.011930712768120078
outer-01,soh_first_complete,mit_stanford_fast_charge,5.4C(40%)-3.6C,903,0.9672627707351559,0.969533748487684,-0.0022709777525281583
outer-01,soh_train_cells_stat,mit_stanford_fast_charge,4C(80%)-4C,2097,0.9825948962133761,0.9696441379106848,0.012950758302691323
outer-01,soh_train_cells_stat,mit_stanford_fast_charge,5.4C(40%)-3.6C,903,0.9718756104677607,0.9696441379106848,0.0022314725570758975
outer-02,soh_nominal,mit_stanford_fast_charge,5.4C(60%)-3.6C,860,0.9549114369556023,0.9511294158032859,0.003782021152316406
outer-02,soh_nominal,mit_stanford_fast_charge,8C(25%)-3.6C,1349,0.9440589944538041,0.9511294158032859,-0.00707042134948177
outer-02,soh_first_complete,mit_stanford_fast_charge,5.4C(60%)-3.6C,860,0.971545712714678,0.9703292766576647,0.0012164360570133814
outer-02,soh_first_complete,mit_stanford_fast_charge,8C(25%)-3.6C,1349,0.9666714838191237,0.9703292766576647,-0.003657792838540952
outer-02,soh_train_cells_stat,mit_stanford_fast_charge,5.4C(60%)-3.6C,860,0.9740229177192479,0.9701652036579317,0.0038577140613161864
outer-02,soh_train_cells_stat,mit_stanford_fast_charge,8C(25%)-3.6C,1349,0.9629532757599029,0.9701652036579317,-0.007211927898028825
outer-03,soh_nominal,calce_a123_dynamic_25c,ambient_25c,1,6.829389010053499,,
outer-03,soh_nominal,mit_stanford_fast_charge,3.6C(80%)-3.6C,2999,0.9654577552214375,0.9496751223349126,0.015782632886524928
outer-03,soh_first_complete,calce_a123_dynamic_25c,ambient_25c,1,1.0,,
outer-03,soh_first_complete,mit_stanford_fast_charge,3.6C(80%)-3.6C,2999,0.9876867175995228,0.968685238977539,0.01900147862198376
outer-03,soh_train_cells_stat,calce_a123_dynamic_25c,ambient_25c,1,6.970396972443776,,
outer-03,soh_train_cells_stat,mit_stanford_fast_charge,3.6C(80%)-3.6C,2999,0.9845316690139585,0.9684372290312986,0.016094439982659914
