audit_title,zip_member_name,normalized_relative_path,zip_crc32,zip_uncompressed_bytes,extracted_absolute_path,extracted_bytes,extracted_crc32,status,note
用户风险接受的候选数据审计,__MACOSX/._Battery raw data,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,Battery raw data/deg-SL.xlsx,deg-SL.xlsx,fa9d5980,14529,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/deg-SL.xlsx,14529,fa9d5980,PASS,RISK_ACCEPTED_SOURCE_BINDING; ZIP mojibake sequence ┬░ normalized to extracted ° when present
用户风险接受的候选数据审计,__MACOSX/Battery raw data/._deg-SL.xlsx,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/._Processed features data,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,Battery raw data/2nd_lifetime.xlsx,2nd_lifetime.xlsx,aa5bb81c,12203,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/2nd_lifetime.xlsx,12203,aa5bb81c,PASS,RISK_ACCEPTED_SOURCE_BINDING; ZIP mojibake sequence ┬░ normalized to extracted ° when present
用户风险接受的候选数据审计,__MACOSX/Battery raw data/._2nd_lifetime.xlsx,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/._RPT Data,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/._0.033C RPT Data,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/._Cycle Data,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/._After SOH80 Data,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/Processed features data/._0.2C-1C_delta Q(V) features data,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/Processed features data/._RPT_features data,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._28. 45┬░C #4,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._57. HIGH C@ 10┬░C #1,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._35. 45┬░C #11,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._43. 60┬░C #7,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._14. 1V@ 25┬░C #2,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._53. LOW C@ 10┬░C #5,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._60. HIGH C@ 10┬░C #4,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._29. 45┬░C #5,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._42. 60┬░C #6,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._41. 60┬░C #5,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._19. 4.35V@ 25┬░C #3,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._40. 60┬░C #4,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._15. 1V@ 25┬░C #3,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._12. HIGH C@ 25┬░C #4,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._49. LOW C@ 10┬░C #1,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._36. 45┬░C #12,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._18. 4.35V@ 25┬░C #2,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._34. 45┬░C #10,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._52. LOW C@ 10┬░C #4,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._21. 4.5V@ 25┬░C #1,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._31. 45┬░C #7,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._56. LOW C@ 10┬░C #8,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._45. 60┬░C #9,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._44. 60┬░C #8,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._30. 45┬░C #6,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._9. HIGH C@ 25┬░C #1,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._1. LOW C@ 25┬░C #1,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._13. 1V@ 25┬░C #1,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._23. 4.5V@ 25┬░C #3,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._5. LOW C@ 25┬░C #5,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._24. 4.5V@ 25┬░C #4,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._58. HIGH C@ 10┬░C #2,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._37. 60┬░C #1,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._22. 4.5V@ 25┬░C #2,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._2. LOW C@ 25┬░C #2,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._47. 60┬░C #11,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._54. LOW C@ 10┬░C #6,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
用户风险接受的候选数据审计,__MACOSX/Battery raw data/RPT Data/._48. 60┬░C #12,,c7702b1d,212,,,,MACOSX_METADATA_EXCLUDED,__MACOSX metadata member; excluded from data-tree binding
