fold_id,definition,source_id,condition_id,sample_count,test_mean,train_source_mean,mean_shift_from_train_source
outer-01,soh_nominal,mit_stanford_fast_charge,4C(80%)-4C,2449,0.9628063600950295,0.9501709922269317,0.012635367868097824
outer-01,soh_nominal,mit_stanford_fast_charge,5.4C(40%)-3.6C,1052,0.9520643536985827,0.9501709922269317,0.0018933614716509783
outer-01,soh_first_complete,mit_stanford_fast_charge,4C(80%)-4C,2449,0.9814831538600307,0.9696251898072336,0.011857964052797154
outer-01,soh_first_complete,mit_stanford_fast_charge,5.4C(40%)-3.6C,1052,0.9670320761735977,0.9696251898072336,-0.0025931136336359017
outer-01,soh_train_cells_stat,mit_stanford_fast_charge,4C(80%)-4C,2449,0.9826067344082632,0.969711516767934,0.012895217640329193
outer-01,soh_train_cells_stat,mit_stanford_fast_charge,5.4C(40%)-3.6C,1052,0.971643815732525,0.969711516767934,0.0019322989645910171
outer-02,soh_nominal,mit_stanford_fast_charge,5.4C(60%)-3.6C,860,0.9549114369556023,0.9512975698155156,0.003613867140086713
outer-02,soh_nominal,mit_stanford_fast_charge,8C(25%)-3.6C,1349,0.9440589944538041,0.9512975698155156,-0.007238575361711463
outer-02,soh_first_complete,mit_stanford_fast_charge,5.4C(60%)-3.6C,860,0.971545712714678,0.9704540114902416,0.0010917012244364699
outer-02,soh_first_complete,mit_stanford_fast_charge,8C(25%)-3.6C,1349,0.9666714838191237,0.9704540114902416,-0.0037825276711178635
outer-02,soh_train_cells_stat,mit_stanford_fast_charge,5.4C(60%)-3.6C,860,0.9740229177192479,0.9703367230840058,0.0036861946352421127
outer-02,soh_train_cells_stat,mit_stanford_fast_charge,8C(25%)-3.6C,1349,0.9629532757599029,0.9703367230840058,-0.007383447324102899
outer-03,soh_nominal,calce_a123_dynamic_25c,ambient_25c,1,6.829389010053499,6.923718704310689,-0.09432969425718962
outer-03,soh_nominal,mit_stanford_fast_charge,3.6C(80%)-3.6C,3539,0.9654258215982943,0.9492809648612298,0.01614485673706445
outer-03,soh_first_complete,calce_a123_dynamic_25c,ambient_25c,1,1.0,1.0,0.0
outer-03,soh_first_complete,mit_stanford_fast_charge,3.6C(80%)-3.6C,3539,0.9876049863840255,0.9682360088586294,0.019368977525396125
outer-03,soh_train_cells_stat,calce_a123_dynamic_25c,ambient_25c,1,0.9863758626995547,1.0,-0.013624137300445316
outer-03,soh_train_cells_stat,mit_stanford_fast_charge,3.6C(80%)-3.6C,3539,0.9844991044992288,0.9680352844476848,0.01646382005154401
